Date,Open,High,Low,Close,Volume
2014-09-17,465.86401367,468.17401123,452.42199707,457.33401489,21056800
2014-09-18,456.85998535,456.85998535,413.10400391,424.44000244,34483200
2014-09-19,424.10299683,427.83499146,384.53201294,394.79598999,37919700
2014-09-20,394.67300415,423.29598999,389.88299561,408.90399170,36863600
2014-09-21,408.08499146,412.42599487,393.18099976,398.82101440,26580100
2014-09-22,399.10000610,406.91598511,397.13000488,402.15200806,24127600
2014-09-23,402.09201050,441.55700684,396.19699097,435.79098511,45099500
2014-09-24,435.75100708,436.11199951,421.13198853,423.20498657,30627700
2014-09-25,423.15600586,423.51998901,409.46798706,411.57400513,26814400
2014-09-26,411.42898560,414.93798828,400.00900269,404.42498779,21460800
2014-09-27,403.55599976,406.62298584,397.37200928,399.51998901,15029300
2014-09-28,399.47100830,401.01699829,374.33200073,377.18099976,23613300
2014-09-29,376.92800903,385.21099854,372.23999023,375.46701050,32497700
2014-09-30,376.08801270,390.97698975,373.44299316,386.94400024,34707300
2014-10-01,387.42700195,391.37899780,380.77999878,383.61499023,26229400
2014-10-02,383.98800659,385.49700928,372.94601440,375.07199097,21777700
2014-10-03,375.18099976,377.69500732,357.85900879,359.51199341,30901200
2014-10-04,359.89199829,364.48699951,325.88598633,328.86599731,47236500
2014-10-05,328.91598511,341.80099487,289.29598999,320.51000977,83308096
2014-10-06,320.38900757,345.13400269,302.55999756,330.07901001,79011800
2014-10-07,330.58401489,339.24700928,320.48199463,336.18701172,49199900
2014-10-08,336.11599731,354.36401367,327.18798828,352.94000244,54736300
2014-10-09,352.74798584,382.72601318,347.68701172,365.02600098,83641104
2014-10-10,364.68701172,375.06698608,352.96301270,361.56201172,43665700
2014-10-11,361.36199951,367.19100952,355.95098877,362.29901123,13345200
2014-10-12,362.60598755,379.43301392,356.14401245,378.54901123,17552800
2014-10-13,377.92098999,397.22601318,368.89700317,390.41400146,35221400
2014-10-14,391.69198608,411.69799805,391.32400513,400.86999512,38491500
2014-10-15,400.95498657,402.22698975,388.76599121,394.77301025,25267100
2014-10-16,394.51800537,398.80700684,373.07000732,382.55599976,26990000
2014-10-17,382.75601196,385.47799683,375.38900757,383.75799561,13600700
2014-10-18,383.97601318,395.15798950,378.97100830,391.44198608,11416800
2014-10-19,391.25399780,393.93899536,386.45700073,389.54598999,5914570
2014-10-20,389.23098755,390.08401489,378.25201416,382.84500122,16419000
2014-10-21,382.42098999,392.64599609,380.83401489,386.47500610,14188900
2014-10-22,386.11801147,388.57598877,382.24899292,383.15798950,11641300
2014-10-23,382.96200562,385.04800415,356.44699097,358.41699219,26456900
2014-10-24,358.59100342,364.34500122,353.30499268,358.34500122,15585700
2014-10-25,358.61099243,359.86099243,342.87701416,347.27099609,18127500
2014-10-26,347.48699951,359.22100830,343.93099976,354.70401001,11272500
2014-10-27,354.77700806,358.63198853,349.80899048,352.98901367,13033000
2014-10-28,353.21499634,359.98400879,352.67898560,357.61801147,7845880
2014-10-29,357.08898926,357.83300781,335.34298706,335.59100342,18192700
2014-10-30,335.70901489,350.91299438,335.07199097,345.30499268,30177900
2014-10-31,345.00900269,348.04501343,337.14199829,338.32101440,12545400
2014-11-01,338.64999390,340.52899170,321.05499268,325.74899292,16677200
2014-11-02,326.07501221,329.04998779,320.62600708,325.89199829,8603620
2014-11-03,325.56900024,334.00201416,325.48098755,327.55398560,12948500
2014-11-04,327.16101074,331.76699829,325.07699585,330.49200439,15655500
2014-11-05,330.68301392,343.36898804,330.68301392,339.48599243,19817200
2014-11-06,339.45800781,352.96600342,338.42401123,349.29000854,18797000
2014-11-07,349.81799316,352.73199463,341.77600098,342.41500854,16834200
2014-11-08,342.15399170,347.03201294,342.15399170,345.48800659,8535470
2014-11-09,345.37600708,363.62600708,344.25500488,363.26400757,24205600
2014-11-10,362.26501465,374.81600952,357.56100464,366.92401123,30450100
2014-11-11,365.85699463,371.30999756,363.73498535,367.69500732,15838900
2014-11-12,367.98498535,429.71798706,367.98498535,423.56100464,45783200
2014-11-13,427.27301025,457.09298706,401.12298584,420.73498535,58945000
2014-11-14,418.41699219,419.25201416,384.78900146,397.81799316,29589200
2014-11-15,399.64999390,405.52801514,371.00799561,376.13299561,15727500
2014-11-16,374.73001099,390.79901123,374.60198975,387.88198853,11905600
2014-11-17,388.34899902,410.19900513,377.50201416,387.40798950,41518800
2014-11-18,387.78500366,392.40200806,371.11700439,375.19799805,32222500
2014-11-19,373.89599609,386.48098755,373.89599609,380.55499268,18931800
2014-11-20,380.30700684,382.02499390,356.78100586,357.83999634,25233200
2014-11-21,357.87899780,357.87899780,344.11199951,350.84799194,29850100
2014-11-22,351.60400391,364.84100342,350.87799072,352.92001343,15273000
2014-11-23,353.17498779,370.84500122,353.17498779,367.57299805,15151600
2014-11-24,366.94799805,387.20901489,366.66900635,376.90100098,30930100
2014-11-25,376.88598633,394.70098877,374.78399658,375.34799194,25442200
2014-11-26,376.01901245,377.69799805,365.81600952,368.36999512,18601700
2014-11-27,370.50201416,373.99200439,368.28201294,369.67001343,8748030
2014-11-28,369.37399292,382.83801270,358.45498657,376.44699097,22946500
2014-11-29,376.15200806,387.60101318,372.14498901,375.49099731,15375600
2014-11-30,375.51000977,382.52700806,373.30899048,378.04699707,9194440
2014-12-01,378.24899292,383.66198730,376.66900635,379.24499512,11763000
2014-12-02,379.25000000,384.03799438,377.86300659,381.31500244,12364100
2014-12-03,381.72198486,383.02600098,374.34600830,375.01000977,13340100
2014-12-04,375.71798706,378.65499878,367.75900269,369.60400391,14529600
2014-12-05,369.44198608,379.19198608,365.75601196,376.85400391,15181800
2014-12-06,376.75698853,378.44799805,370.94500732,374.78500366,7009320
2014-12-07,374.83599854,376.29199219,373.27499390,375.09500122,6491650
2014-12-08,374.96499634,376.02899170,361.88598633,361.90899658,18898700
2014-12-09,361.89498901,363.06698608,344.95098877,352.21899414,32915500
2014-12-10,352.20498657,352.38400269,346.36499023,346.36499023,16427700
2014-12-11,344.33999634,361.35699463,338.76300049,350.50601196,32431300
2014-12-12,350.83300781,352.98300171,349.29098511,352.54199219,16989800
2014-12-13,352.38101196,352.38101196,346.58801270,347.37600708,11675900
2014-12-14,346.72698975,353.31600952,345.41799927,351.63198853,12415200
2014-12-15,351.36099243,351.81500244,344.93399048,345.34500122,17264200
2014-12-16,345.67300415,345.85900879,327.06201172,327.06201172,30864900
2014-12-17,326.85501099,333.95401001,315.15200806,319.77600098,37567900
2014-12-18,319.78500366,323.70901489,304.23199463,311.39599609,39173000
